City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
217,Talnakh,RU,2022-02-02 23:28:22,69.4865,88.3972,-7.55,99,93,6.22
218,Kasama,ZM,2022-02-02 23:28:22,-10.2129,31.1808,62.96,97,100,4.38
219,Biltine,TD,2022-02-02 23:28:22,14.5333,20.9167,63.68,12,1,5.88
220,Laguna,US,2022-02-02 23:28:23,38.421,-121.4238,63.05,27,0,10.0
221,Aksu,CN,2022-02-02 23:28:23,41.1231,80.2644,22.12,55,93,1.66
222,Ridgecrest,US,2022-02-02 23:28:23,35.6225,-117.6709,55.26,13,0,13.0
223,Kosovska Mitrovica,XK,2022-02-02 23:28:24,42.8833,20.8667,34.14,94,68,5.06
224,Atherton,GB,2022-02-02 23:28:24,53.5237,-2.4935,49.28,86,100,4.47
225,Anadyr,RU,2022-02-02 23:28:24,64.75,177.4833,9.1,78,0,38.03
226,Saint-Leu,RE,2022-02-02 23:29:25,-21.15,55.2833,79.66,88,100,27.25
227,Sao Joao Da Barra,BR,2022-02-02 23:29:25,-21.6403,-41.0511,74.88,90,100,6.85
228,Thinadhoo,MV,2022-02-02 23:29:25,0.5333,72.9333,82.2,71,8,6.51
229,Qaanaaq,GL,2022-02-02 23:29:26,77.484,-69.3632,-13.7,83,100,6.87
230,San Quintin,MX,2022-02-02 23:29:26,30.4833,-115.95,61.27,57,0,11.27
231,College,US,2022-02-02 23:29:26,64.8569,-147.8028,-6.14,74,20,0.0
232,Victor Harbor,AU,2022-02-02 23:29:27,-35.5667,138.6167,64.72,68,98,1.99
233,Aguas Formosas,BR,2022-02-02 23:29:27,-17.0822,-40.9358,73.89,93,92,1.12
234,Asau,RO,2022-02-02 23:29:27,46.4333,26.4,22.28,89,87,6.24
235,Hatillo,PR,2022-02-02 23:29:28,18.4863,-66.8254,79.09,86,6,3.0
236,Pueblo Bello,CO,2022-02-02 23:29:28,8.2041,-76.526,81.1,87,46,4.16
237,Mitsamiouli,KM,2022-02-02 23:29:28,-11.3847,43.2844,81.21,75,84,3.51
238,Sotnikovskoye,RU,2022-02-02 23:29:29,45.0039,43.7772,35.69,87,98,4.03
239,Sitka,US,2022-02-02 23:29:29,57.0531,-135.33,39.09,93,100,5.75
240,Desaguadero,PE,2022-02-02 23:29:29,-16.5656,-69.0417,51.26,67,52,1.95
241,Desbiens,CA,2022-02-02 23:29:30,48.4178,-71.9495,32.47,90,100,14.56
242,Katobu,ID,2022-02-02 23:29:30,-4.9408,122.5276,77.05,86,100,1.95
243,Te Anau,NZ,2022-02-02 23:25:48,-45.4167,167.7167,62.02,79,100,4.99
244,San Borja,BO,2022-02-02 23:29:31,-14.8167,-66.85,76.77,89,90,3.42
245,Mount Darwin,ZW,2022-02-02 23:29:31,-16.7725,31.5838,66.88,96,5,0.65
246,Pisco,PE,2022-02-02 23:29:31,-13.7,-76.2167,75.25,60,0,18.41
247,Salo,IT,2022-02-02 23:29:32,45.6086,10.531,48.78,60,0,7.72
248,Torrelodones,ES,2022-02-02 23:29:32,40.5765,-3.9266,51.21,61,58,1.39
249,Wewak,PG,2022-02-02 23:29:33,-3.5534,143.6268,78.93,83,100,5.61
250,Mut,TR,2022-02-02 23:29:33,36.6439,33.4389,42.28,93,94,4.92
251,Lavrentiya,RU,2022-02-02 23:29:33,65.5833,-171.0,1.06,68,0,22.32
252,Norman Wells,CA,2022-02-02 23:29:34,65.282,-126.8329,-21.96,69,75,16.11
253,Southbridge,US,2022-02-02 23:29:34,42.0751,-72.0334,40.6,87,100,1.01
254,Hofn,IS,2022-02-02 23:29:34,64.2539,-15.2082,30.11,56,100,7.76
255,Richards Bay,ZA,2022-02-02 23:29:35,-28.783,32.0377,76.87,83,6,14.92
256,Mehamn,NO,2022-02-02 23:29:35,71.0357,27.8492,25.07,73,100,9.91
257,Parnarama,BR,2022-02-02 23:29:35,-5.6817,-43.0933,77.67,71,42,2.01
258,Altay,CN,2022-02-02 23:29:36,47.8667,88.1167,3.97,72,10,6.96
259,Bandar-E Lengeh,IR,2022-02-02 23:29:36,26.5579,54.8807,68.5,60,0,6.69
260,Bay Roberts,CA,2022-02-02 23:29:36,47.5999,-53.2648,24.33,84,9,5.01
261,Santa Cruz De La Palma,ES,2022-02-02 23:29:37,28.6835,-17.7642,72.14,77,20,3.44
262,Channel-Port Aux Basques,CA,2022-02-02 23:29:37,47.5702,-59.1367,28.29,76,89,17.72
263,Poum,NC,2022-02-02 23:29:37,-20.2333,164.0167,80.1,75,0,5.88
264,Mandera,KE,2022-02-02 23:29:37,3.9366,41.867,83.32,34,96,7.02
265,Adrar,MR,2022-02-02 23:29:38,20.5022,-10.0711,68.94,21,67,11.1
266,Tekirdag,TR,2022-02-02 23:25:32,40.978,27.5085,34.95,97,100,16.46
267,Oussouye,SN,2022-02-02 23:29:38,12.485,-16.5469,75.38,84,41,4.45
268,Howard Springs,AU,2022-02-02 23:29:39,-12.497,131.047,82.81,98,100,9.44
269,Takoradi,GH,2022-02-02 23:29:39,4.8845,-1.7554,80.02,81,1,9.28
270,Gedo,ET,2022-02-02 23:30:39,9.0167,37.45,56.52,56,100,1.95
271,Mount Isa,AU,2022-02-02 23:30:40,-20.7333,139.5,80.37,78,40,10.36
272,La Ronge,CA,2022-02-02 23:30:40,55.1001,-105.2842,-10.98,58,0,1.14
273,Leningradskiy,RU,2022-02-02 23:30:40,69.3833,178.4167,-12.62,93,28,10.0
274,Kailua,US,2022-02-02 23:30:41,21.4022,-157.7394,82.38,63,20,9.22
275,Shablykino,RU,2022-02-02 23:30:41,52.8566,35.1964,19.56,97,100,6.53
276,Zheleznodorozhnyy,RU,2022-02-02 23:30:41,55.7503,38.0042,23.41,100,100,3.87
277,Tasiilaq,GL,2022-02-02 23:26:42,65.6145,-37.6368,14.16,83,100,3.67
278,Morris,US,2022-02-02 23:30:42,40.8334,-74.5329,38.39,87,100,1.14
279,Kalianget,ID,2022-02-02 23:30:42,-7.05,113.9333,77.7,85,98,9.98
280,Kodiak,US,2022-02-02 23:30:42,57.79,-152.4072,36.91,93,100,9.22
281,Loksa,EE,2022-02-02 23:30:43,59.5764,25.7214,23.94,88,100,4.23
282,Los Llanos De Aridane,ES,2022-02-02 23:30:43,28.6585,-17.9182,68.13,59,20,8.99
283,Tual,ID,2022-02-02 23:30:43,-5.6667,132.75,83.07,73,100,8.75
284,Odessa,UA,2022-02-02 23:30:43,46.4775,30.7326,30.13,100,100,0.0
285,Sola,VU,2022-02-02 23:30:44,-13.8833,167.55,81.25,76,98,7.11
286,Kamaishi,JP,2022-02-02 23:30:44,39.2667,141.8833,25.75,53,14,11.41
287,Deer Lake,CA,2022-02-02 23:30:45,49.1667,-57.4316,21.06,68,40,5.75
288,Gazanjyk,TM,2022-02-02 23:30:45,39.2446,55.5154,45.72,46,6,10.87
289,Catabola,AO,2022-02-02 23:30:45,-12.15,17.2833,61.05,92,55,4.94
290,Kizukuri,JP,2022-02-02 23:30:45,40.8061,140.3861,31.1,60,93,16.51
291,San Jose,US,2022-02-02 23:30:24,37.3394,-121.895,64.81,24,20,5.01
292,Soure,BR,2022-02-02 23:30:46,-0.7167,-48.5233,78.3,87,100,12.03
293,Kushiro,JP,2022-02-02 23:30:47,42.975,144.3747,14.95,79,20,5.75
