,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
271,Moyale,KE,3.5167,39.0584,78.55,23,56,16.17,broken clouds
272,Lebu,CL,-37.6167,-73.65,64.24,75,1,17.47,clear sky
273,Kununurra,AU,-15.7667,128.7333,78.78,94,100,0.0,overcast clouds
274,Fortuna,US,40.5982,-124.1573,49.86,91,100,1.99,overcast clouds
275,Serebryansk,KZ,49.6925,83.2892,-15.25,93,30,4.76,scattered clouds
276,Do Gonbadan,IR,30.3586,50.7981,55.49,76,100,0.0,overcast clouds
277,Arlit,NE,18.7369,7.3853,65.66,13,0,8.55,clear sky
278,Liverpool,GB,53.4106,-2.9779,42.75,82,75,8.99,broken clouds
279,Fort Nelson,CA,58.8053,-122.7002,-11.61,77,100,3.44,snow
280,Haradok,BY,55.4624,29.9816,3.78,100,100,5.97,overcast clouds
281,Kenai,US,60.5544,-151.2583,23.02,93,100,4.61,light snow
282,Longyearbyen,SJ,78.2186,15.6401,15.64,67,0,18.41,clear sky
283,Carutapera,BR,-1.195,-46.02,78.19,89,100,8.01,overcast clouds
284,Borovskoy,KZ,53.8,64.15,20.84,79,100,11.7,overcast clouds
285,Puerto Escondido,MX,15.85,-97.0667,85.03,74,0,9.22,clear sky
286,Astana,KZ,51.1801,71.446,-2.25,78,18,6.71,few clouds
287,Inta,RU,66.0317,60.1659,10.81,95,100,10.58,light snow
288,Klamath Falls,US,42.2249,-121.7817,44.87,58,0,1.01,clear sky
289,Piranshahr,IR,36.701,45.1413,31.5,93,100,6.33,light snow
290,Pindobacu,BR,-10.7417,-40.3608,90.7,32,35,5.82,scattered clouds
291,Iqaluit,CA,63.7506,-68.5145,-15.07,53,100,11.5,overcast clouds
292,Namatanai,PG,-3.6667,152.4333,80.13,78,100,7.16,overcast clouds
293,Mbanza-Ngungu,CD,-5.25,14.8667,71.65,84,100,1.7,overcast clouds
294,Urucui,BR,-7.2294,-44.5561,83.44,70,100,3.78,overcast clouds
295,Oyama,JP,36.3,139.8,38.59,35,4,8.88,clear sky
296,Ithaca,US,42.4406,-76.4966,22.96,88,100,5.99,mist
297,Sobinka,RU,55.9855,40.0111,7.7,98,74,6.69,broken clouds
298,Port Moresby,PG,-9.4431,147.1797,72.82,100,20,8.05,few clouds
299,Miracema Do Tocantins,BR,-9.5618,-48.3967,87.42,68,78,3.31,broken clouds
300,Linqiong,CN,30.4159,103.4609,42.62,87,100,3.0,overcast clouds
301,Ozernovskiy,RU,51.5,156.5167,26.56,77,71,5.41,broken clouds
302,Naze,JP,28.3667,129.4833,53.51,54,100,16.46,overcast clouds
303,Banda Aceh,ID,5.5577,95.3222,78.4,79,84,6.98,broken clouds
304,Gibsons,CA,49.3997,-123.5027,46.72,93,100,3.0,overcast clouds
305,Ahipara,NZ,-35.1667,173.1667,72.45,87,89,14.56,overcast clouds
306,Shimoda,JP,34.6667,138.95,37.11,64,8,27.2,clear sky
307,General Pico,AR,-35.6566,-63.7568,82.72,45,89,5.37,overcast clouds
308,Viedma,AR,-40.8135,-62.9967,70.2,61,100,18.39,overcast clouds
309,Los Lunas,US,34.8062,-106.7334,33.78,54,0,1.99,snow
310,Colares,PT,38.7992,-9.4469,58.33,70,20,1.01,few clouds
311,Norman Wells,CA,65.282,-126.8329,-25.56,62,75,8.05,broken clouds
312,Codrington,AU,-38.2667,141.9667,55.29,87,95,9.26,overcast clouds
313,Ereymentau,KZ,51.6199,73.1033,9.68,71,24,4.68,few clouds
314,Muli,MV,2.9167,73.5667,81.93,73,77,10.27,broken clouds
315,Lagoa,PT,39.05,-27.9833,58.17,80,82,17.09,broken clouds
316,Touho,NC,-20.7833,165.2333,80.26,84,100,4.05,overcast clouds
317,Bethel,US,41.3712,-73.414,37.76,91,100,6.91,light rain
318,Yashalta,RU,46.3395,42.2762,33.67,99,100,8.52,snow
319,Meulaboh,ID,4.1363,96.1285,76.37,87,100,4.36,overcast clouds
320,Santa Isabel Do Rio Negro,BR,-0.4139,-65.0192,90.86,48,42,3.02,heavy intensity rain
321,Valle De Allende,MX,26.9333,-105.4,44.29,33,11,7.36,few clouds
322,Olinda,BR,-8.0089,-34.8553,85.73,62,40,10.36,scattered clouds
323,Brae,GB,60.3964,-1.353,40.91,57,99,33.84,overcast clouds
324,Kingston,JM,17.997,-76.7936,83.35,73,75,1.01,broken clouds
325,Pevek,RU,69.7008,170.3133,-22.58,100,82,5.41,broken clouds
326,Ludvika,SE,60.1496,15.1878,35.4,91,100,8.34,overcast clouds
327,Martapura,ID,-3.4167,114.85,75.29,94,100,3.44,mist
328,Bilibino,RU,68.0546,166.4372,-9.71,78,1,4.74,clear sky
329,Boa Vista,BR,2.8197,-60.6733,89.58,45,75,12.66,broken clouds
330,Khorramabad,IR,33.4878,48.3558,53.22,40,75,11.5,broken clouds
331,Peno,RU,56.9262,32.7426,-3.71,100,100,3.4,overcast clouds
332,Tazmalt,DZ,36.3868,4.3989,57.81,39,100,3.58,overcast clouds
333,Olafsvik,IS,64.8945,-23.7142,27.84,70,100,18.1,overcast clouds
334,Robertsport,LR,6.7533,-11.3686,80.53,83,51,10.92,broken clouds
335,Marzuq,YE,14.4,46.4667,63.82,49,5,5.82,clear sky
336,Aktash,RU,50.3,87.7333,-17.9,76,2,5.1,clear sky
337,Kristianstad,SE,56.0313,14.1524,42.94,97,100,13.8,drizzle
338,Tres Picos,MX,15.8667,-93.5333,91.18,42,8,10.92,clear sky
339,Darhan,MN,49.4867,105.9228,-8.86,97,12,5.37,few clouds
340,Luderitz,NA,-26.6481,15.1594,68.74,71,19,9.64,few clouds
341,Khasan,RU,42.4308,130.6434,11.93,58,3,21.56,clear sky
342,Yulara,AU,-25.2406,130.9889,62.44,63,0,8.05,clear sky
343,Ashington,GB,50.9331,-0.3909,43.43,61,20,3.0,few clouds
344,Victoria,HK,22.2855,114.1577,58.32,77,97,1.01,overcast clouds
